"icao","observed_utc","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","raw_text","fetched_at_utc"
"CYGK",2025-09-05 03:00:00,"VFR",12,12,100,0,0,24100,29.81,"CYGK 050300Z 00000KT 15SM FEW250 12/12 A2981 RMK CI1 LAST STFD OBS/NXT 051000Z SLP097",2025-09-05 06:55:05.20247
"CYGK",2025-09-05,"VFR",12,12,100,0,0,24100,29.81,"CYGK 050300Z 00000KT 15SM FEW250 12/12 A2981 RMK CI1 LAST STFD OBS/NXT 051000Z SLP097",2025-09-05 06:43:45.741307
"CYGK",2025-09-04,"VFR",16,14,88,290,4,24100,29.72,"CYGK 042300Z 29004KT 15SM FEW012 SCT040 BKN120 BKN250 16/14 A2972 RMK CF2SC1AC3CI1 SLP065 DENSITY ALT 800FT",2025-09-04 23:52:49.761765
"CYHM",2025-09-05 06:00:00,"VFR",11,6,72,130,8,24100,29.8,"CYHM 050600Z 13008KT 15SM FEW066 FEW250 11/06 A2980 RMK AC1CI1 SLP093",2025-09-05 06:55:05.20247
"CYHM",2025-09-05,"VFR",11,6,72,130,8,24100,29.8,"CYHM 050600Z 13008KT 15SM FEW066 FEW250 11/06 A2980 RMK AC1CI1 SLP093",2025-09-05 06:43:45.741307
"CYHM",2025-09-04,"VFR",17,9,59,260,4,24100,29.74,"CYHM 042300Z 26004KT 210V280 15SM BKN060 BKN075 BKN220 17/09 A2974 RMK CU5AC2CI1 CI TR SLP071 DENSITY ALT 1400FT",2025-09-04 23:52:49.761765
"CYMO",2025-09-05 06:38:00,"VFR",8,6,87,170,9,14500,29.47,"CYMO 050638Z AUTO 17009KT 9SM FEW042 SCT066 BKN120 08/06 A2947 RMK SLP981",2025-09-05 06:55:05.20247
"CYMO",2025-09-05,"VFR",8,6,87,170,9,14500,29.47,"CYMO 050638Z AUTO 17009KT 9SM FEW042 SCT066 BKN120 08/06 A2947 RMK SLP981",2025-09-05 06:43:45.741307
"CYMO",2025-09-04,"VFR",11,7,77,180,5,14500,29.45,"CYMO 042327Z AUTO 18005KT 9SM FEW043 SCT050 BKN066 OVC086 11/07 A2945 RMK SLP975",2025-09-04 23:52:49.761765
"CYOO",2025-09-05 06:00:00,"VFR",8,8,100,70,3,14500,29.8,"CYOO 050600Z AUTO 07003KT 050V120 9SM CLR 08/08 A2980 RMK SLP094",2025-09-05 06:55:05.20247
"CYOO",2025-09-05,"VFR",8,8,100,70,3,14500,29.8,"CYOO 050600Z AUTO 07003KT 050V120 9SM CLR 08/08 A2980 RMK SLP094",2025-09-05 06:43:45.741307
"CYOO",2025-09-04,"VFR",17,12,73,200,7,14500,29.72,"CYOO 042300Z AUTO 20007KT 9SM FEW066 17/12 A2972 RMK SLP065 DENSITY ALT 1100FT",2025-09-04 23:52:49.761765
"CYOW",2025-09-05 06:40:00,"LIFR",9,8,94,210,2,NA,29.83,"CYOW 050640Z 21002KT 1/8SM R07/2600V4000FT/N R32/2000V2800FT/N FG VV001 09/08 A2983 RMK FG8 SLP104",2025-09-05 06:55:05.20247
"CYOW",2025-09-05,"LIFR",8,8,100,190,3,800,29.82,"CYOW 050600Z 19003KT 1/2SM R07/2800V4500FT/D R32/2600V3500FT/N FG SKC 08/08 A2982 RMK VIS VRB 3/8-1 SLP100",2025-09-05 06:43:45.741307
"CYOW",2025-09-04,"VFR",13,11,88,290,11,24100,29.72,"CYOW 042344Z 29011KT 15SM SCT012 BKN100 BKN160 13/11 A2972 RMK SC3AC2AC1 SLP067",2025-09-04 23:52:49.761765
"CYPL",2025-09-05 06:41:00,"IFR",3,3,100,290,13,9700,29.32,"CYPL 050641Z AUTO 29013G20KT 6SM BR OVC009 03/03 A2932 RMK SLP948",2025-09-05 06:55:05.20247
"CYPL",2025-09-05,"IFR",3,3,100,290,11,6400,29.33,"CYPL 050600Z AUTO 29011G21KT 4SM BR OVC009 03/03 A2933 RMK SLP950",2025-09-05 06:43:45.741307
"CYPL",2025-09-04,"MVFR",4,3,93,290,10,12900,29.41,"CYPL 042300Z AUTO 29010G22KT 270V360 8SM -RA FEW006 SCT010 BKN014 OVC023 04/03 A2941 RMK SLP976",2025-09-04 23:52:49.761765
"CYQA",2025-09-05 06:00:00,"VFR",6,6,100,130,2,14500,29.76,"CYQA 050600Z AUTO 13002KT 9SM BKN091 06/06 A2976 RMK SLP086",2025-09-05 06:55:05.20247
"CYQA",2025-09-05,"VFR",6,6,100,130,2,14500,29.76,"CYQA 050600Z AUTO 13002KT 9SM BKN091 06/06 A2976 RMK SLP086",2025-09-05 06:43:45.741307
"CYQA",2025-09-04,"VFR",13,7,67,300,5,14500,29.71,"CYQA 042300Z AUTO 30005KT 260V330 9SM FEW038 SCT047 13/07 A2971 RMK SLP067 DENSITY ALT 1200FT",2025-09-04 23:52:49.761765
"CYQG",2025-09-05 06:00:00,"VFR",8,7,93,150,3,14500,29.79,"CYQG 050600Z AUTO 15003KT 9SM CLR 08/07 A2979 RMK SLP090",2025-09-05 06:55:05.20247
"CYQG",2025-09-05,"VFR",8,7,93,150,3,14500,29.79,"CYQG 050600Z AUTO 15003KT 9SM CLR 08/07 A2979 RMK SLP090",2025-09-05 06:43:45.741307
"CYQG",2025-09-04,"VFR",18,8,52,230,7,14500,29.74,"CYQG 042300Z AUTO 23007KT 9SM FEW071 18/08 A2974 RMK SLP074 DENSITY ALT 1300FT",2025-09-04 23:52:49.761765
"CYQT",2025-09-05 06:00:00,"VFR",6,5,93,320,5,24100,29.44,"CYQT 050600Z 32005KT 15SM FEW120 BKN260 06/05 A2944 RMK AC2CI4 SLP978",2025-09-05 06:55:05.20247
"CYQT",2025-09-05,"VFR",6,5,93,320,5,24100,29.44,"CYQT 050600Z 32005KT 15SM FEW120 BKN260 06/05 A2944 RMK AC2CI4 SLP978",2025-09-05 06:43:45.741307
"CYQT",2025-09-04,"VFR",9,5,76,240,4,32200,29.49,"CYQT 042300Z 24004KT 20SM FEW025 OVC080 09/05 A2949 RMK SC2AC6 SLP996",2025-09-04 23:52:49.761765
"CYSB",2025-09-05 06:00:00,"VFR",8,8,100,150,8,24100,29.66,"CYSB 050600Z 15008KT 15SM BKN140 08/08 A2966 RMK AC6 SLP053",2025-09-05 06:55:05.20247
