icao,flight_category,hours,total_hours,percent
CYAM,MVFR,0.8666666666666667,5.999722222222223,14.445113199685169
CYAM,VFR,5.133055555555556,5.999722222222223,85.55488680031482
CYAT,MVFR,5.0663888888888895,5.999722222222223,84.44372424649289
CYAT,VFR,0.9333333333333333,5.999722222222223,15.556275753507103
CYBC,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYBK,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYBR,VFR,2.1997222222222224,2.1997222222222224,100
CYCO,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYEG,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYER,IFR,1.3,5.833055555555555,22.28677556074099
CYER,MVFR,4.533055555555555,5.833055555555555,77.71322443925901
CYFB,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYFC,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYGK,VFR,5.999722222222222,5.999722222222222,99.99999999999999
CYHU,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYHZ,IFR,1.2666666666666666,2.999722222222222,42.22613204926382
CYHZ,LIFR,1.7330555555555556,2.999722222222222,57.773867950736175
CYLW,VFR,2.5163888888888892,2.5163888888888892,100
CYMM,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYMO,MVFR,3.6666666666666665,5.749722222222222,63.771196676167925
CYMO,VFR,2.0830555555555557,5.749722222222222,36.228803323832075
CYOW,VFR,5.999722222222222,5.999722222222222,99.99999999999999
CYPL,MVFR,5.933055555555556,5.999722222222222,98.88883744617806
CYPL,VFR,0.06666666666666667,5.999722222222222,1.1111625538219363
CYQA,MVFR,0.23333333333333334,5.716388888888889,4.081830992759609
CYQA,VFR,5.483055555555556,5.716388888888889,95.9181690072404
CYQB,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYQF,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYQG,VFR,5.999722222222222,5.999722222222222,99.99999999999999
CYQM,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYQQ,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYQR,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYQT,VFR,5.999722222222222,5.999722222222222,99.99999999999999
CYQY,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYRB,MVFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYRJ,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYRT,MVFR,2.1497222222222225,2.1497222222222225,100
CYSB,MVFR,2.533333333333333,5.999722222222222,42.224177045233574
CYSB,VFR,3.466388888888889,5.999722222222222,57.775822954766426
CYTS,IFR,0.2833333333333333,5.999722222222222,4.722440853743229
CYTS,MVFR,5.716388888888889,5.999722222222222,95.27755914625678
CYUL,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYUY,MVFR,0.48333333333333334,2.1663888888888887,22.3105526349532
CYUY,VFR,1.6830555555555555,2.1663888888888887,77.6894473650468
CYVO,VFR,2.4497222222222224,2.4497222222222224,100
CYVR,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYVV,MVFR,2.566666666666667,5.699722222222222,45.03143428042303
CYVV,VFR,3.133055555555556,5.699722222222222,54.968565719576986
CYWG,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYXE,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYXS,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYXT,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYXY,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYYB,MVFR,5.583055555555556,5.999722222222223,93.05523403861291
CYYB,VFR,0.4166666666666667,5.999722222222223,6.944765961387101
CYYC,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYYG,VFR,2.0830555555555557,2.0830555555555557,100
CYYJ,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYYT,LIFR,2.1997222222222224,2.1997222222222224,100
CYYZ,VFR,5.999722222222222,5.999722222222222,99.99999999999999
CYZF,VFR,2.9997222222222226,2.9997222222222226,100.00000000000001
CYZV,MVFR,2.1830555555555557,2.1830555555555557,100
